date,temp_celsius,location,latitude,longitude
2016-12-26,6.7,Better_Zone_1,56.7,16.5
2016-12-27,5.0,Better_Zone_1,56.7,16.5
2016-12-28,1.5,Better_Zone_1,56.7,16.5
2016-12-29,3.2,Better_Zone_1,56.7,16.5
2016-12-30,4.3,Better_Zone_1,56.7,16.5
2016-12-31,7.2,Better_Zone_1,56.7,16.5
2017-01-01,5.9,Better_Zone_1,56.7,16.5
2017-01-02,-0.2,Better_Zone_1,56.7,16.5
2017-01-03,-0.5,Better_Zone_1,56.7,16.5
2017-01-04,-0.2,Better_Zone_1,56.7,16.5
2017-01-05,-6.6,Better_Zone_1,56.7,16.5
2017-01-06,-7.9,Better_Zone_1,56.7,16.5
2017-01-07,-2.2,Better_Zone_1,56.7,16.5
2017-01-08,-0.6,Better_Zone_1,56.7,16.5
2017-01-09,1.8,Better_Zone_1,56.7,16.5
2017-01-10,1.0,Better_Zone_1,56.7,16.5
2017-01-11,0.9,Better_Zone_1,56.7,16.5
2017-01-12,2.3,Better_Zone_1,56.7,16.5
2017-01-13,-1.1,Better_Zone_1,56.7,16.5
2017-01-14,-1.0,Better_Zone_1,56.7,16.5
2017-01-15,-2.2,Better_Zone_1,56.7,16.5
2017-01-16,-3.2,Better_Zone_1,56.7,16.5
2017-01-17,-3.0,Better_Zone_1,56.7,16.5
2017-01-18,1.9,Better_Zone_1,56.7,16.5
2017-01-19,4.5,Better_Zone_1,56.7,16.5
2017-01-20,4.3,Better_Zone_1,56.7,16.5
2017-01-21,1.3,Better_Zone_1,56.7,16.5
2017-01-22,0.3,Better_Zone_1,56.7,16.5
2017-01-23,1.4,Better_Zone_1,56.7,16.5
2017-01-24,0.3,Better_Zone_1,56.7,16.5
2017-01-25,0.9,Better_Zone_1,56.7,16.5
2017-01-26,0.4,Better_Zone_1,56.7,16.5
2017-01-27,-0.8,Better_Zone_1,56.7,16.5
2017-01-28,0.2,Better_Zone_1,56.7,16.5
2017-01-29,1.6,Better_Zone_1,56.7,16.5
2017-01-30,2.0,Better_Zone_1,56.7,16.5
2017-01-31,1.5,Better_Zone_1,56.7,16.5
2017-02-01,0.7,Better_Zone_1,56.7,16.5
2017-02-02,-0.0,Better_Zone_1,56.7,16.5
2017-02-03,0.8,Better_Zone_1,56.7,16.5
2017-02-04,1.1,Better_Zone_1,56.7,16.5
2017-02-05,1.3,Better_Zone_1,56.7,16.5
2017-02-06,-0.3,Better_Zone_1,56.7,16.5
2017-02-07,-2.5,Better_Zone_1,56.7,16.5
2017-02-08,-2.5,Better_Zone_1,56.7,16.5
2017-02-09,-1.7,Better_Zone_1,56.7,16.5
2017-02-10,0.2,Better_Zone_1,56.7,16.5
2017-02-11,-0.2,Better_Zone_1,56.7,16.5
2017-02-12,-0.3,Better_Zone_1,56.7,16.5
2017-02-13,-0.7,Better_Zone_1,56.7,16.5
2017-02-14,2.0,Better_Zone_1,56.7,16.5
2017-02-15,1.7,Better_Zone_1,56.7,16.5
2017-02-16,2.1,Better_Zone_1,56.7,16.5
2017-02-17,3.6,Better_Zone_1,56.7,16.5
2017-02-18,1.1,Better_Zone_1,56.7,16.5
2017-02-19,4.3,Better_Zone_1,56.7,16.5
2017-02-20,5.3,Better_Zone_1,56.7,16.5
2017-02-21,3.8,Better_Zone_1,56.7,16.5
2017-02-22,3.7,Better_Zone_1,56.7,16.5
2017-02-23,3.1,Better_Zone_1,56.7,16.5
2017-02-24,0.5,Better_Zone_1,56.7,16.5
2017-02-25,0.6,Better_Zone_1,56.7,16.5
2017-02-26,4.8,Better_Zone_1,56.7,16.5
